통계표,계정코드,통화계약구분코드,단위,가중치,변환,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12
"4.3.1.1. 수출물가지수(기본분류)","      금속가공제품","계약통화기준","2015=100","16.9","원자료","107.94","108.25","108.85","110.54","114.58","116.96","120.50","121.87","121.87","124.58","125.32","127.29","129.58","130.24","130.89","134.11","135.65","136.44","138.68","139.00","138.85","137.19","137.21","136.95","135.87","136.40","136.16","136.62","138.69","138.42","137.83","137.61","137.61","136.84","137.09","137.37"
"4.3.1.1. 수출물가지수(기본분류)","      금속가공제품","달러기준","2015=100","16.9","원자료","110.27","110.49","110.93","112.65","116.79","119.09","122.44","123.79","123.77","126.20","126.72","128.60","130.90","131.57","131.67","134.36","135.45","135.99","137.70","137.99","137.22","135.30","135.90","136.43","135.79","136.05","135.71","136.48","138.11","137.43","137.10","136.40","135.93","134.85","135.34","136.20"
"4.3.1.1. 수출물가지수(기본분류)","        구조용금속제품및탱크","원화기준","2015=100","4.5","원자료","105.34","106.70","108.97","110.16","118.07","123.27","138.66","141.46","142.59","143.44","145.90","153.75","156.86","160.68","166.94","170.79","176.55","177.60","186.84","188.42","198.86","203.33","193.03","183.42","177.28","180.61","185.58","190.72","191.91","187.36","185.86","190.50","192.10","195.16","189.34","188.41"
"4.3.1.1. 수출물가지수(기본분류)","        구조용금속제품및탱크","계약통화기준","2015=100","4.5","원자료","110.57","110.57","111.00","113.37","121.08","126.64","139.62","140.45","140.45","139.70","142.08","149.63","151.34","154.46","157.50","159.66","160.15","160.15","164.62","164.62","164.62","164.19","163.02","163.02","163.75","163.75","163.75","166.46","166.46","166.46","166.46","166.46","166.46","166.46","166.46","166.46"
"4.3.1.1. 수출물가지수(기본분류)","        구조용금속제품및탱크","달러기준","2015=100","4.5","원자료","110.57","110.57","111.00","113.37","121.08","126.64","139.62","140.45","140.45","139.70","142.08","149.63","151.34","154.46","157.50","159.66","160.15","160.15","164.62","164.62","164.62","164.19","163.02","163.02","163.75","163.75","163.75","166.46","166.46","166.46","166.46","166.46","166.46","166.46","166.46","166.46"
"4.3.1.1. 수출물가지수(기본분류)","          금속제탱크및압력용기","원화기준","2015=100","1.9","원자료","106.06","107.42","109.29","115.96","116.36","116.15","160.03","162.32","163.61","166.20","166.20","166.31","172.03","172.66","175.92","171.96","177.20","178.25","181.84","183.37","193.55","198.42","189.73","180.28","173.47","176.73","181.60","190.88","192.07","187.51","186.01","190.66","192.25","195.32","189.49","188.57"
"4.3.1.1. 수출물가지수(기본분류)","          금속제탱크및압력용기","계약통화기준","2015=100","1.9","원자료","109.25","109.25","109.25","117.11","117.11","117.11","158.15","158.15","158.15","158.85","158.85","158.85","162.90","162.90","162.90","157.77","157.77","157.77","157.25","157.25","157.25","157.25","157.25","157.25","157.25","157.25","157.25","163.51","163.51","163.51","163.51","163.51","163.51","163.51","163.51","163.51"
"4.3.1.1. 수출물가지수(기본분류)","          금속제탱크및압력용기","달러기준","2015=100","1.9","원자료","109.25","109.25","109.25","117.11","117.11","117.11","158.15","158.15","158.15","158.85","158.85","158.85","162.90","162.90","162.90","157.77","157.77","157.77","157.25","157.25","157.25","157.25","157.25","157.25","157.25","157.25","157.25","163.51","163.51","163.51","163.51","163.51","163.51","163.51","163.51","163.51"
"4.3.1.1. 수출물가지수(기본분류)","          산업용보일러및증기발생기","원화기준","2017.12=100","2.6","원자료","105.64","107.00","109.46","108.34","119.47","126.99","130.41","133.44","134.51","134.63","138.14","149.32","150.62","156.88","165.52","175.15","181.47","182.54","196.18","197.83","208.81","213.12","201.34","191.32","185.50","189.01","194.21","196.33","197.56","192.87","191.32","196.10","197.75","200.91","194.90","193.94"
"4.3.1.1. 수출물가지수(기본분류)","          산업용보일러및증기발생기","계약통화기준","2017.12=100","2.6","원자료","108.57","108.57","109.17","109.17","119.96","127.75","128.58","129.73","129.73","128.40","131.73","142.29","142.29","147.67","152.90","160.32","161.19","161.19","169.25","169.25","169.25","168.51","166.49","166.49","167.77","167.77","167.77","167.77","167.77","167.77","167.77","167.77","167.77","167.77","167.77","167.77"
"4.3.1.1. 수출물가지수(기본분류)","          산업용보일러및증기발생기","달러기준","2017.12=100","2.6","원자료","108.57","108.57","109.17","109.17","119.96","127.75","128.58","129.73","129.73","128.40","131.73","142.29","142.29","147.67","152.90","160.32","161.19","161.19","169.25","169.25","169.25","168.51","166.49","166.49","167.77","167.77","167.77","167.77","167.77","167.77","167.77","167.77","167.77","167.77","167.77","167.77"
"4.3.1.1. 수출물가지수(기본분류)","        기타금속가공제품","원화기준","2015=100","12.4","원자료","106.08","107.72","110.03","110.39","113.77","114.82","117.52","120.72","121.67","126.59","126.53","126.75","130.41","130.88","132.63","136.89","142.47","144.05","148.54","150.20","157.35","158.42","152.77","145.94","139.33","142.29","145.74","147.60","150.92","146.35","144.70","147.30","147.82","148.57","144.85","145.40"
"4.3.1.1. 수출물가지수(기본분류)","        기타금속가공제품","계약통화기준","2015=100","12.4","원자료","107.02","107.40","108.06","109.56","112.48","113.89","114.58","116.11","116.11","119.86","120.10","120.38","122.81","122.81","122.81","126.30","128.11","129.10","130.73","131.12","130.93","128.95","129.29","128.96","127.37","128.06","127.75","127.59","130.22","129.88","129.13","128.83","128.83","127.88","128.17","128.55"
"4.3.1.1. 수출물가지수(기본분류)","        기타금속가공제품","달러기준","2015=100","12.4","원자료","109.81","110.09","110.53","112.03","115.06","116.34","116.71","118.19","118.19","121.58","121.52","121.66","124.09","124.09","123.41","126.21","127.46","128.13","129.08","129.43","128.46","126.17","127.24","127.91","126.91","127.22","126.80","127.04","129.09","128.22","127.81","126.93","126.32","124.97","125.58","126.68"
"4.3.1.1. 수출물가지수(기본분류)","          부착용금속제품","원화기준","2017.12=100","2.6","원자료","94.88","96.10","97.78","96.77","97.10","96.59","97.60","98.75","99.59","99.95","99.16","98.74","99.72","100.15","100.55","100.60","102.43","102.99","103.57","104.06","108.60","111.06","107.96","104.60","101.52","103.21","106.02","108.42","108.67","105.94","106.11","108.07","107.91","108.94","106.86","106.85"
"4.3.1.1. 수출물가지수(기본분류)","          부착용금속제품","계약통화기준","2017.12=100","2.6","원자료","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52","97.52"
"4.3.1.1. 수출물가지수(기본분류)","          부착용금속제품","달러기준","2017.12=100","2.6","원자료","97.52","97.52","97.52","97.52","97.52","97.18","96.24","96.01","96.08","95.33","94.57","94.10","94.21","94.28","92.90","92.09","90.99","90.96","89.37","89.05","88.05","87.82","89.31","91.02","91.81","91.62","91.58","92.64","92.28","92.15","93.05","92.46","91.55","90.97","91.98","92.42"
"4.3.1.1. 수출물가지수(기본분류)","          공구류","원화기준","2015=100","3.2","원자료","110.73","111.94","113.45","112.28","112.81","112.47","114.54","117.12","118.03","119.63","119.40","119.40","122.35","122.78","124.49","124.82","130.62","130.93","140.19","141.42","148.28","152.45","148.13","142.97","140.24","142.60","146.46","148.36","148.85","144.91","144.00","147.13","147.89","149.92","145.67","145.56"
"4.3.1.1. 수출물가지수(기본분류)","          공구류","계약통화기준","2015=100","3.2","원자료","109.82","109.82","109.82","109.82","109.82","109.82","109.82","110.72","110.72","111.35","111.35","111.35","113.18","113.18","113.18","113.18","115.37","115.37","121.23","121.23","121.23","121.91","123.21","124.19","126.04","126.04","126.04","126.04","126.04","126.04","126.04","126.04","126.04","126.04","126.04","126.04"
"4.3.1.1. 수출물가지수(기본분류)","          공구류","달러기준","2015=100","3.2","원자료","114.06","113.85","113.41","113.41","113.55","113.40","113.21","114.12","114.10","114.35","114.12","114.04","115.85","115.83","115.26","114.52","116.30","115.89","121.22","121.27","120.47","120.80","122.76","124.70","127.12","126.88","126.81","127.07","126.70","126.35","126.57","126.17","125.76","125.49","125.69","126.20"
"4.3.1.1. 수출물가지수(기본분류)","          나사및철선제품","원화기준","2015=100","5.2","원자료","108.01","109.97","112.49","112.80","119.96","122.75","125.24","127.02","128.03","137.32","137.33","137.42","143.86","144.39","147.12","157.66","163.05","166.90","171.73","173.18","182.19","179.76","171.87","161.50","148.32","153.10","156.36","156.86","165.84","160.87","157.40","160.45","161.79","161.39","157.51","157.82"
"4.3.1.1. 수출물가지수(기본분류)","          나사및철선제품","계약통화기준","2015=100","5.2","원자료","111.15","111.74","112.34","113.82","120.63","123.64","123.64","123.64","123.64","131.12","131.12","131.12","136.09","136.09","136.09","144.49","145.02","147.56","148.36","148.36","147.86","142.30","142.30","140.72","134.30","136.08","135.25","134.23","141.03","140.13","138.20","137.44","137.44","134.96","135.75","136.70"
"4.3.1.1. 수출물가지수(기본분류)","          나사및철선제품","달러기준","2015=100","5.2","원자료","111.15","111.74","112.34","113.82","120.63","123.64","123.64","123.64","123.64","131.12","131.12","131.12","136.09","136.09","136.09","144.49","145.02","147.56","148.36","148.36","147.86","142.30","142.30","140.72","134.30","136.08","135.25","134.23","141.03","140.13","138.20","137.44","137.44","134.96","135.75","136.70"
